o_body,verdict,o_url
Hundreds of casualties at the 13 November 2015 France vs. Germany football match were prevented through the intervention of a Muslim security guard named Zouheir.,false,3277
Barack Obama did not attend Columbia University.,false,906
Mike Pence once said that condoms are 'too modern' and 'too liberal' and offer a poor defense against sexually transmitted diseases.,true,508
The rescued crew of a Japanese fishing trawler were held in custody when Russian officials refused to believe their claim that their boat was sunk by a falling cow.,false,3593
The FCC has classified Fox News as 'satire' rather than a news source.,false,2017
A fatal wave of molasses swept through Boston in January 1919.,true,2661
"When U2's Bono announced that every time he clapped a child in Africa died, someone from the audience told him to stop doing that.",false,3104
Donald Trump revoked the press credentials of six major news outlets.,false,3362
Photographs show an unusually colored buck taken by a hunter.,true,2147
"The Temple of Baal is being rebuilt in New York and London as an operable house of worship, with more such temples to follow.",false,3718
Symbols embossed on the exterior surfaces of Oreo cookies link the product to the alleged conspiratorial activities of the Knights Templar and Freemasons.,false,2757
Brad Pitt recently slammed liberals for 'taking [his] money' and has endorsed Donald Trump for President.,false,3122
Bananas that display a red discoloration inside are dangerous to human health if eaten.,false,2730
President Obama trademarked the name 'Obamacare' and receives royalties every time the term is used.,false,323
A secret tape recorded aboard the doomed space shuttle Challenger captured the final panic-stricken moments of the crew.,false,1626
President Trump has issued an order banning the 'Saturday Night Live' television show.,false,496
President-elect Trump has selected a climate change skeptic to head the team in charge of the transition between Obama and Trump's Environmental Protection Agencies.,true,1057
Photograph shows President Obama not saluting the flag during the playing of the national anthem at a 2009 Veterans Day ceremony.,false,3444
The bulk of donations to the 2008 Obama campaign came from a handful of wealthy foreign financiers.,false,702
"Alan Rickman stated he envisioned sitting in a rocking chair at 80, reading 'Harry Potter' books to his grandchildren.",false,149
Mississippi has passed a bill granting churchgoers the right to shoot and kill citizens at will.,false,3797
Image shows a poster for an upcoming film biography of Walt Disney.,false,1668
"Democratic presidential nominee Hillary Clinton once said, 'I think Sharia Law will be a powerful new direction of freedom and democracy for the women of Libya.",false,2558
The Fox News Channel has been banned in Canada because they report false information,false,1576
Photograph shows a 1956 computer disk memory storage unit.,true,2106
NC police tased and 'brutally ejected' a woman from a ladies' restroom because they thought she was transgender.,false,2750
College fills open faculty position through cynical job posting.,true,1648
Donald Trump advocated not washing hands after using the restroom as a 'power play' in his 1987 book The Art of the Deal.,false,406
"Photographs show Yomi Kim Hunter, a Korean-American voted the 'prettiest man in Asia.",false,339
Motorists in most U.S. states can be fined for failing to slow down or change lanes when passing parked emergency vehicles.,true,3383
Photograph shows a school essay rejected because the student chose 'Jesus Christ' as her hero.,false,1313
Will Smith has died during surgery following an accident.,false,2294
The Gerber Baby is a likeness of Humphrey Bogart as an infant.,false,2290
President Trump offered asylum to Russian Jehovah's Witnesses.,false,1113
Barack Obama 'lied' about his father's military service during World War II.,false,1746
Hundreds of thousands of Thanksgiving turkeys have been contaminated with Ebola.,false,1434
Police discovered human remains in a Satanic dungeon under a Chuck E. Cheese.,false,1
E-mail compares George W. Bush's eco-friendly ranch with Al Gore's energy-expending mansion.,true,2640
Aerial spraying of an insecticide targeting Zika-carrying mosquitoes in South Carolina resulted in the deaths of millions of bees.,true,1768
Photographs show injuries sustained by a victim of the September 2016 St.,false,397
The Taco Bell chain is closing due to allegations that its 'beef' is really cat and dog meat.,false,2915
Payment of U.S. federal income taxes is voluntary.,false,1638
The state cut off water access to Native Americans protesting the Dakota Access Pipeline.,false,766
"Tejano singer Selena's killer, Yolanda Saldivar, has been granted early parole.",false,2229
There are 'no-go zones' in Sweden where the police can't enter.,false,3869
A 1964 campaign ad for President Lyndon B. Johnson featured a purported Republican voter expressing concerns which eerily echoed threads of debate in the GOP in 2016.,true,2688
A fun-loving college student awoke after a wild party to find both his kidneys had been stolen by organ thieves. He now spends his days attached to a machine that keeps him alive until a donor match can be found.,false,4032
The Amish Brotherhood have endorsed Donald Trump for president.,false,3776
A fan was beaten up by moviegoers after spoiling the new Star Wars movie.,false,4038
