,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,DaleChallIndex,characters_per_word,syll_per_word,words_per_sentence,sentences_per_paragraph,type_token_ratio,characters,syllables,words,wordtypes,sentences,paragraphs,long_words,complex_words,complex_words_dc,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization,interrogative,article,subordination
/home/lucas/Lux/res/readability/input_texts/000.txt,21.96863547248726,28.309715287761954,13.237098194419033,30.26078377554134,25.558297390319353,80.98174530562454,16.601470508735446,15.05952380952381,13.968597128915611,5.035224153705398,1.4627172918572735,52.04761904761905,1.0,0.3426349496797804,22014,6395,4372,1498,84,84,1265,518,2146,121,28,0,1,3,86,0,1,0
/home/lucas/Lux/res/readability/input_texts/001.txt,37.74258064516128,47.57643625192012,24.7865357373272,-46.69946236559136,32.066973886328725,131.78033794162826,16.038404810405297,43.0,19.01215960061444,6.972350230414746,2.129032258064516,72.33333333333333,1.0,0.7419354838709677,1513,462,217,161,3,3,129,17,162,1,0,0,0,0,13,0,0,0
/home/lucas/Lux/res/readability/input_texts/002.txt,46.969201918316045,59.498863435829726,11.170536833294722,-31.073492230248675,50.519204743103074,140.02020833597825,19.900190482836706,25.746575342465754,14.124019710665634,4.629633920296571,1.3934777571825765,118.24657534246575,1.0,0.21217562557924002,79926,24057,17264,3663,146,146,3759,1390,5054,495,145,6,24,38,186,3,16,3
/home/lucas/Lux/res/readability/input_texts/003.txt,10.193796337859578,12.177427056447087,9.83715080472637,65.0461331500393,14.162230202371601,45.138162570605616,12.023778112773575,5.067669172932331,10.015716669472187,4.568407960199005,1.3858830845771144,24.18045112781955,1.0,0.3376865671641791,14692,4457,3216,1086,133,133,674,361,1055,103,37,7,21,10,23,1,9,8
/home/lucas/Lux/res/readability/input_texts/004.txt,15.49746031746032,20.355151098901096,11.400323394841273,53.005659340659356,17.41245421245421,62.57875457875458,10.442084075352508,9.23076923076923,12.48324352869353,4.755952380952381,1.3531746031746033,38.76923076923077,1.0,0.44841269841269843,2397,682,504,226,13,13,120,24,221,8,8,0,0,0,6,0,2,0
/home/lucas/Lux/res/readability/input_texts/005.txt,22.918332721263315,28.852320969518907,11.751001136246792,29.72820051413884,27.575615130370917,83.07785530664708,17.92840054584358,15.285714285714286,12.237984245317664,4.776349614395887,1.4267352185089974,55.57142857142857,1.0,0.5989717223650386,1858,555,389,233,7,7,107,52,144,12,10,0,0,2,7,0,1,0
/home/lucas/Lux/res/readability/input_texts/006.txt,12.663964562569216,15.884780361757102,9.021782033222596,63.836397194536744,16.965817644887412,48.726836471022516,12.486832980505138,5.111111111111111,9.91168995939461,4.372093023255814,1.2890365448504983,33.44444444444444,0.9,0.5049833887043189,1316,388,301,152,9,10,46,27,88,12,9,0,1,0,4,0,0,1
/home/lucas/Lux/res/readability/input_texts/007.txt,14.53206539881645,17.74473825299681,10.888121563198627,51.799262429821475,17.293702898184208,56.3039047089171,12.625334218796219,7.5588235294117645,12.325244180870973,4.68615649183147,1.422184006878762,34.205882352941174,1.0,0.3757523645743766,5450,1654,1163,437,34,34,257,105,515,40,15,2,4,3,7,3,4,1
/home/lucas/Lux/res/readability/input_texts/008.txt,3606.34814358309,4622.779789166396,8.801224957076439,-9287.210249756728,3702.8608930695214,9266.596496918586,153.3994680841658,1627.5,466.9989321115796,4.184668612823008,1.2566223375500054,9249.0,1.0,0.20223807979240999,77408,23245,18498,3741,2,2,3255,1508,5403,566,329,0,0,0,308,0,0,0
/home/lucas/Lux/res/readability/input_texts/009.txt,29.634761904761906,36.211642857142856,12.041804307142861,7.273571428571458,34.285714285714285,95.0,21.16590212458495,17.5,12.559809523809525,4.807142857142857,1.519047619047619,70.0,1.0,0.6,2019,638,420,252,6,6,105,66,145,19,14,0,0,1,9,0,1,0
/home/lucas/Lux/res/readability/input_texts/010.txt,8.122741645706075,10.189425080848004,9.1310338677686,74.3072745238951,11.557887172116423,40.464965864175355,10.04025691230827,4.086956521739131,10.030587100251527,4.479338842975206,1.3140495867768596,21.043478260869566,1.0,0.5888429752066116,2168,636,484,285,23,23,94,38,164,24,5,1,4,1,4,0,3,0
/home/lucas/Lux/res/readability/input_texts/011.txt,42.17969907181241,52.61065285784074,15.940519881797755,-35.042138739618935,46.605764533463606,132.6941866145579,26.956482285140716,34.78260869565217,17.02168221787982,5.450337078651685,1.6984269662921347,96.73913043478261,0.9583333333333334,0.4458426966292135,12127,3779,2225,992,23,24,800,440,1210,36,5,0,1,4,54,1,3,0
