type,word1,pos1,priorpolarity
0.3,abandoned,JJ,-1.0
0.3,abandonment,NN,-1.0
0.3,abandon,VB,-1.0
0.7,abase,VB,-1.0
0.7,abasement,ANY,-1.0
0.7,abash,VB,-1.0
0.3,abate,VB,-1.0
0.3,abdicate,VB,-1.0
0.7,aberration,JJ,-1.0
0.7,aberration,NN,-1.0
0.7,abhor,ANY,-1.0
0.7,abhor,VB,-1.0
0.7,abhorred,JJ,-1.0
0.7,abhorrence,NN,-1.0
0.7,abhorrent,JJ,-1.0
0.7,abhorrently,ANY,-1.0
0.7,abhors,JJ,-1.0
0.7,abhors,NN,-1.0
0.7,abidance,JJ,1.0
0.7,abidance,NN,1.0
0.7,abide,ANY,1.0
0.7,abject,JJ,-1.0
0.7,abjectly,RB,-1.0
0.3,abjure,VB,-1.0
0.3,abilities,NN,1.0
0.3,ability,NN,1.0
0.3,able,JJ,1.0
0.3,abnormal,JJ,-1.0
0.3,abolish,VB,-1.0
0.7,abominable,JJ,-1.0
0.7,abominably,ANY,-1.0
0.7,abominate,VB,-1.0
0.7,abomination,NN,-1.0
0.3,above,ANY,1.0
0.3,above-average,JJ,1.0
0.3,abound,VB,1.0
0.3,abrade,VB,-1.0
0.7,abrasive,JJ,-1.0
0.3,abrupt,JJ,-1.0
0.7,abscond,VB,-1.0
0.3,absence,NN,-1.0
0.3,absentee,ANY,-1.0
0.7,absent-minded,JJ,-1.0
0.7,absolve,VB,1.0
0.7,absolute,JJ,0.0
0.7,absolutely,JJ,0.0
0.3,absorbed,VB,0.0
0.7,absurd,JJ,-1.0
0.7,absurdity,NN,-1.0
0.7,absurdly,ANY,-1.0
0.7,absurdness,NN,-1.0
0.3,abundant,JJ,1.0
0.3,abundance,NN,1.0
0.3,abuse,JJ,-1.0
0.3,abuse,NN,-1.0
0.7,abuse,VB,-1.0
0.3,abuses,JJ,-1.0
0.3,abuses,NN,-1.0
0.7,abusive,JJ,-1.0
0.7,abysmal,JJ,-1.0
0.7,abysmally,ANY,-1.0
0.7,abyss,NN,-1.0
0.7,accede,VB,1.0
0.7,accentuate,VB,0.0
0.3,accept,VB,1.0
0.3,acceptance,NN,1.0
0.3,acceptable,JJ,1.0
0.3,accessible,JJ,1.0
0.3,accidental,JJ,-1.0
0.7,acclaim,NN,1.0
0.7,acclaim,VB,1.0
0.7,acclaimed,JJ,1.0
0.7,acclamation,ANY,1.0
0.7,accolade,NN,1.0
0.7,accolades,NN,1.0
0.3,accommodative,JJ,1.0
0.3,accomplish,VB,1.0
0.3,accomplishment,NN,1.0
