TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7530798973106666 VAR: 0.0007664457334883341 F1: 0.7527414537220881 SEED: 10384
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7471666510128049 VAR: 0.0006110371023714855 F1: 0.7468747296292773 SEED: 10384
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7458947747409286 VAR: 0.00057613541925362 F1: 0.7438527553627229 SEED: 9352
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7590714129175669 VAR: 0.0006219896229691933 F1: 0.7577857358178401 SEED: 9352
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7419891362199055 VAR: 0.0010139997150302204 F1: 0.7398016735361143 SEED: 7272
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7564533045302275 VAR: 0.001112488228005299 F1: 0.7546631625872467 SEED: 7272
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.739973701512163 VAR: 0.0005114951172345456 F1: 0.7381333144310587 SEED: 31421
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7537804076265615 VAR: 0.0002839101196980996 F1: 0.7524140095801808 SEED: 31421
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7399971823048745 VAR: 0.0014022887313304968 F1: 0.7389983352516435 SEED: 16577
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7472449203218434 VAR: 0.0013036707741849193 F1: 0.7463247979895647 SEED: 16577
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7314345198960583 VAR: 0.0006763787798321415 F1: 0.7295444061498428 SEED: 18017
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7340408878870418 VAR: 0.0003425976132865993 F1: 0.7324158899062396 SEED: 18017
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7551188128111206 VAR: 0.00038908023077453266 F1: 0.7541547940532303 SEED: 12082
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7524850505619737 VAR: 0.0006051495367433637 F1: 0.751584110078849 SEED: 12082
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7360211014057167 VAR: 0.00048533710297105716 F1: 0.7339626649478032 SEED: 3206
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7452451394759088 VAR: 0.00037243256487030544 F1: 0.7430483826691474 SEED: 3206
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7531268588960897 VAR: 0.0003587750715568108 F1: 0.7524154652832148 SEED: 12988
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.75247722363107 VAR: 0.0006635430088948953 F1: 0.7521180615167884 SEED: 12988
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7524028677874832 VAR: 0.0017701296119076008 F1: 0.7515706405453759 SEED: 2369
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7504657023887793 VAR: 0.0010037679895627126 F1: 0.7491920168990358 SEED: 2369
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7471705644782569 VAR: 0.0010368389841480862 F1: 0.7450413494574495 SEED: 17111
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7498278075201151 VAR: 0.0007624309119644269 F1: 0.7488159338729101 SEED: 17111
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7392966719889797 VAR: 0.0006794224944034799 F1: 0.7381464659925544 SEED: 19446
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7504461350615197 VAR: 0.0005904318325747985 F1: 0.7495779381481326 SEED: 19446
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7590792398484706 VAR: 0.0007906172728844586 F1: 0.7570106611985222 SEED: 4419
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7432766663535895 VAR: 0.0005652450171551493 F1: 0.741351465208663 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7511231645847031 VAR: 0.0009490777968957694 F1: 0.7502962217555337 SEED: 1740
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7504696158542313 VAR: 0.0011833979345141745 F1: 0.7490897757529523 SEED: 1740
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7419108669108669 VAR: 0.0008037777263127845 F1: 0.7397747230389853 SEED: 30804
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7498473748473748 VAR: 0.00033639041918730677 F1: 0.7479468593049657 SEED: 30804
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7472253529945837 VAR: 0.0008292642604282093 F1: 0.7464910166134696 SEED: 3925
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7551266397420243 VAR: 0.0007903521665674489 F1: 0.7544877819878811 SEED: 3925
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7432766663535895 VAR: 0.0007975487233518271 F1: 0.741539448251705 SEED: 5746
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7551227262765725 VAR: 0.000807201901376738 F1: 0.7539095784462082 SEED: 5746
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7478241132087285 VAR: 0.0013589530223113064 F1: 0.7467247180876677 SEED: 17756
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7577095269402963 VAR: 0.0007794248241780111 F1: 0.7572928750188475 SEED: 17756
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7399619611158074 VAR: 0.0005475207224887517 F1: 0.7383418911674022 SEED: 20982
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.741269058576751 VAR: 0.0008286281890499285 F1: 0.7390843042966474 SEED: 20982
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7359819667511975 VAR: 0.0015416738220561611 F1: 0.7344810578544729 SEED: 10770
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7485128831282677 VAR: 0.000844152024709085 F1: 0.746916045851705 SEED: 10770
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7485246235246235 VAR: 0.00032496992697651143 F1: 0.7472434283941453 SEED: 10740
TrainShape:(1182, 768) #EPOCH: ([], 100, 'only_bert', 0.001, 64) AVG: 0.7472292664600357 VAR: 0.00043066865790493294 F1: 0.7460533831474344 SEED: 10740
TrainShape:(1182, 870) #EPOCH: ([], 100, 'bert', 0.001, 64) AVG: 0.7577290942675557 VAR: 0.0014378333164111268 F1: 0.7553565985116816 SEED: 1653
