TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7426192041576657 VAR: 0.000447873766889838 F1: 0.7408804320484391 SEED: 9135
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7524733101656179 VAR: 0.0003850801424844192 F1: 0.7515499034433025 SEED: 9135
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7596780000626154 VAR: 0.0010223853448621226 F1: 0.7588527612057797 SEED: 21416
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7596819135280675 VAR: 0.0008090335700827884 F1: 0.7588492629806796 SEED: 21416
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.747213612598228 VAR: 0.0007877468652503401 F1: 0.7463776102559341 SEED: 29894
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7524850505619736 VAR: 0.0009500979737870849 F1: 0.7518605345277384 SEED: 29894
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7511349049810588 VAR: 0.0005469152815341575 F1: 0.7503856662497673 SEED: 5625
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.755737140352525 VAR: 0.0007048046094045566 F1: 0.7552549476549204 SEED: 5625
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.747166651012805 VAR: 0.0009544991062145293 F1: 0.7462098173786599 SEED: 3710
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7636384270999655 VAR: 0.0010102523889963706 F1: 0.7629545864682806 SEED: 3710
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7577408346639116 VAR: 0.0007741333572252607 F1: 0.756915043101232 SEED: 32172
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7550796781566012 VAR: 0.0008305706786288778 F1: 0.7546485996685823 SEED: 32172
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7538038884192729 VAR: 0.0012143519686272789 F1: 0.7520337443479588 SEED: 18176
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7689450862527785 VAR: 0.0010655819611273536 F1: 0.7675719936052666 SEED: 18176
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7505048370432985 VAR: 0.00034847430511431173 F1: 0.7496229129686152 SEED: 22695
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7603589430512507 VAR: 0.0003643378015417333 F1: 0.7594593714839495 SEED: 22695
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7524576563038101 VAR: 0.0003773767134488705 F1: 0.7509561580111019 SEED: 27292
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7636658213581291 VAR: 0.0005764317379723673 F1: 0.7622528712022946 SEED: 27292
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7492016530478068 VAR: 0.0005874851551856993 F1: 0.7475230434380982 SEED: 12012
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7643311104849566 VAR: 0.0011909098927712564 F1: 0.762413859572374 SEED: 12012
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7557410538179768 VAR: 0.0012244410788421023 F1: 0.7551910735693156 SEED: 3176
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7642763219686297 VAR: 0.000777514833478595 F1: 0.7633996837602439 SEED: 3176
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7392849315926239 VAR: 0.0007170115377435124 F1: 0.7371282619116455 SEED: 9153
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7471705644782567 VAR: 0.001067380885910482 F1: 0.7455272363841919 SEED: 9153
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7412964528349144 VAR: 0.000410479533044454 F1: 0.7402996390734273 SEED: 4131
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7511505588428665 VAR: 0.0005698497500088415 F1: 0.7499491253431518 SEED: 4131
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7373555931248239 VAR: 0.0005928828484477957 F1: 0.7351022583816555 SEED: 10043
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7531503396888012 VAR: 0.0009073470301864965 F1: 0.7518181103678632 SEED: 10043
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7498004132619518 VAR: 0.0019012070578600685 F1: 0.7491550582305595 SEED: 15482
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.756378948686641 VAR: 0.0014338703215640977 F1: 0.7556059648967477 SEED: 15482
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7439536958767728 VAR: 0.00048445978637581957 F1: 0.7420570148544886 SEED: 1464
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7544965718042642 VAR: 0.0007570129719922722 F1: 0.7528841734805831 SEED: 1464
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7458517266209574 VAR: 0.0009414284918188751 F1: 0.7446162964170685 SEED: 7137
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7550561973638897 VAR: 0.0011767674585899523 F1: 0.7542189444429596 SEED: 7137
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7538469365392442 VAR: 0.001345706619914112 F1: 0.7526946031294364 SEED: 28331
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.759110547572086 VAR: 0.0010350559259244265 F1: 0.7579414266317733 SEED: 28331
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7564180833411602 VAR: 0.0008829779245575916 F1: 0.7556869909172499 SEED: 9733
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.7630200995585612 VAR: 0.0007785982315643977 F1: 0.7619120403144353 SEED: 9733
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7479023825177672 VAR: 0.0010339879962025834 F1: 0.7467197914304244 SEED: 17150
TrainShape:(1182, 768) #EPOCH: ([], 200, 'only_bert', 0.0001, 128, 0.5) AVG: 0.75513838013838 VAR: 0.0011062350270096286 F1: 0.7543762262502024 SEED: 17150
