TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 64, 0.1) AVG: 0.7498512883128269 VAR: 0.0006907290720685856 F1: 0.7486256939616059 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 64, 0.2) AVG: 0.7511583857737704 VAR: 0.0005037893296563737 F1: 0.7499936911942116 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 64, 0.3) AVG: 0.7590714129175669 VAR: 0.0007090628509055039 F1: 0.7579580751386761 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 64, 0.4) AVG: 0.749197739582355 VAR: 0.0007387886662896114 F1: 0.7480924073130576 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 64, 0.5) AVG: 0.7505009235778466 VAR: 0.0008033250086506934 F1: 0.7491841621417517 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 64, 0.6) AVG: 0.7511544723083184 VAR: 0.0005294105457447492 F1: 0.7502515848687857 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.1) AVG: 0.7505165774396543 VAR: 0.0008654611203812489 F1: 0.7489803656621762 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.2) AVG: 0.7551188128111205 VAR: 0.0007411589709961955 F1: 0.7533889771822364 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.3) AVG: 0.7577643154566233 VAR: 0.0007173655948109085 F1: 0.7556992661448428 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.4) AVG: 0.7571029397952476 VAR: 0.0005961705343438014 F1: 0.7554630680582004 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5) AVG: 0.7630122726276571 VAR: 0.0011115220831813682 F1: 0.7616575186595914 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.6) AVG: 0.7511505588428665 VAR: 0.000670997780150955 F1: 0.7501928017482378 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 256, 0.1) AVG: 0.7439145612222536 VAR: 0.0008450405214089704 F1: 0.7415330365110546 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 256, 0.2) AVG: 0.7412886259040105 VAR: 0.0007976205516953724 F1: 0.7390826157652501 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 256, 0.3) AVG: 0.751823674900598 VAR: 0.0005033789432398167 F1: 0.7491811216513783 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 256, 0.4) AVG: 0.7472057856673241 VAR: 0.0003649601504902025 F1: 0.7454986660694063 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 256, 0.5) AVG: 0.7537882345574654 VAR: 0.00042937164324433573 F1: 0.7524361981772023 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 256, 0.6) AVG: 0.7551109858802165 VAR: 0.00045529554917958574 F1: 0.7538705926214129 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 512, 0.1) AVG: 0.7412807989731066 VAR: 0.0009478126378758066 F1: 0.7395845896608026 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 512, 0.2) AVG: 0.7478671613286997 VAR: 0.0005418426995890731 F1: 0.7461998621161741 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 512, 0.3) AVG: 0.7340408878870418 VAR: 0.000928466492905615 F1: 0.7317237404969599 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 512, 0.4) AVG: 0.7478710747941517 VAR: 0.0006581563732157494 F1: 0.7459195032800695 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 512, 0.5) AVG: 0.7458986882063805 VAR: 0.000566116605861159 F1: 0.7432644247288156 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0001, 512, 0.6) AVG: 0.7518080210387903 VAR: 0.000738991072129334 F1: 0.7498556600389815 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 64, 0.1) AVG: 0.7412729720422029 VAR: 0.0004709332381235865 F1: 0.7394236575473185 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 64, 0.2) AVG: 0.7445641964872736 VAR: 0.0005195321115840434 F1: 0.7431049680898022 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 64, 0.3) AVG: 0.7471979587364204 VAR: 0.0003208223225659221 F1: 0.7462270458416467 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 64, 0.4) AVG: 0.7471940452709683 VAR: 0.00037781371770361053 F1: 0.7465763837230357 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 64, 0.5) AVG: 0.7478671613286999 VAR: 0.0006357675244782003 F1: 0.7463810918964595 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 64, 0.6) AVG: 0.7439223881531575 VAR: 0.0011708184177014924 F1: 0.7414652360712382 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 128, 0.1) AVG: 0.7399384803230957 VAR: 0.00115116146582215 F1: 0.7385375671140189 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 128, 0.2) AVG: 0.7399423937885476 VAR: 0.0006446232700528489 F1: 0.7390080849625952 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 128, 0.3) AVG: 0.7445798503490813 VAR: 0.0005584193335407712 F1: 0.7425693122558167 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 128, 0.4) AVG: 0.7425722425722426 VAR: 0.0005335083450864233 F1: 0.74175792782654 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 128, 0.5) AVG: 0.748505056197364 VAR: 0.0005453181193518549 F1: 0.7477201903640139 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 128, 0.6) AVG: 0.7544378698224852 VAR: 0.0003694646605975904 F1: 0.7533106138465864 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 256, 0.1) AVG: 0.7419265207726746 VAR: 0.0006684157579558465 F1: 0.7397171437195288 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 256, 0.2) AVG: 0.7379465264080649 VAR: 0.0006904398902385565 F1: 0.7360787685017134 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 256, 0.3) AVG: 0.7406115963808271 VAR: 0.0004529715270431931 F1: 0.7392032402220089 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 256, 0.4) AVG: 0.7366433424125731 VAR: 0.0008473412950537844 F1: 0.7351209423956315 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 256, 0.5) AVG: 0.7432179643718105 VAR: 0.0008126481132299553 F1: 0.7422810497260255 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 256, 0.6) AVG: 0.7484933158010081 VAR: 0.0007694865994302692 F1: 0.7474617655103317 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 512, 0.1) AVG: 0.7438871669640901 VAR: 0.00037708541811960755 F1: 0.7427727535547124 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 512, 0.2) AVG: 0.7465483234714003 VAR: 0.0010661202295628024 F1: 0.7438175057513088 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 512, 0.3) AVG: 0.7452490529413608 VAR: 0.000603989593228768 F1: 0.7435789224623537 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 512, 0.4) AVG: 0.7373281988666603 VAR: 0.0004993386678338264 F1: 0.734947276985412 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 512, 0.5) AVG: 0.7392614507999123 VAR: 0.0007546792400115722 F1: 0.7377075348809472 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.001, 512, 0.6) AVG: 0.7425683291067906 VAR: 0.00041150932788880607 F1: 0.741740555644055 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 64, 0.1) AVG: 0.7471823048746126 VAR: 0.0004229043049566704 F1: 0.7465144639548885 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 64, 0.2) AVG: 0.7471940452709682 VAR: 0.0005797381696876673 F1: 0.7463668874542666 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 64, 0.3) AVG: 0.7439145612222535 VAR: 0.0006577482840809688 F1: 0.7433598292828348 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 64, 0.4) AVG: 0.7478632478632478 VAR: 0.0004974125961619722 F1: 0.7465595988833033 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 64, 0.5) AVG: 0.7439184746877054 VAR: 0.001445641470865261 F1: 0.7420569166326679 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 64, 0.6) AVG: 0.7505048370432986 VAR: 0.0010881903993723138 F1: 0.748679976642848 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 128, 0.1) AVG: 0.7379700072007763 VAR: 0.000593190255379917 F1: 0.7370079832319834 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 128, 0.2) AVG: 0.7379660937353244 VAR: 0.0004920816159626654 F1: 0.7369231465645775 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 128, 0.3) AVG: 0.7452216586831972 VAR: 0.0004075931056987481 F1: 0.7444984301618578 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 128, 0.4) AVG: 0.7537882345574654 VAR: 0.00045826446425628126 F1: 0.7528266994941464 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 128, 0.5) AVG: 0.7551188128111206 VAR: 0.0008403560575624207 F1: 0.7539184875600986 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 128, 0.6) AVG: 0.7511622992392224 VAR: 0.0008144997836026724 F1: 0.7494875202878867 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 200, 'bert', 0.0005, 256, 0.1) AVG: 0.7300491531260761 VAR: 0.0008008820792095476 F1: 0.7289006781243368 SEED: 4419
