TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 128, 0.3, 32) AVG: 0.7590479321248551 VAR: 0.0002198552263365272 F1: 0.7576230572259821 SEED: 17918
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 256, 0.3, 32) AVG: 0.7577525750602674 VAR: 0.0004004295685111033 F1: 0.7561954620994892 SEED: 17918
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 512, 0.3, 32) AVG: 0.7557919288688519 VAR: 0.00043574163804552545 F1: 0.7542982891835414 SEED: 17918
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 128, 0.5, 32) AVG: 0.7537882345574654 VAR: 0.00042075490686571676 F1: 0.75242313989143 SEED: 17918
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 256, 0.5, 32) AVG: 0.7570951128643437 VAR: 0.0005294031944430628 F1: 0.755733673132827 SEED: 17918
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 512, 0.5, 32) AVG: 0.7492173069096145 VAR: 0.0005889963377687132 F1: 0.7475910184663825 SEED: 17918
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 128, 0.7, 32) AVG: 0.7544574371497448 VAR: 0.00032978944036109485 F1: 0.7531708855564282 SEED: 17918
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 256, 0.7, 32) AVG: 0.7583787295325757 VAR: 0.0005589999025913322 F1: 0.7572101294602006 SEED: 17918
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 512, 0.7, 32) AVG: 0.7465248426786888 VAR: 0.00045378556118309463 F1: 0.7449108343150397 SEED: 17918
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 128, 0.3, 32) AVG: 0.7570677186061802 VAR: 0.00017544212279457328 F1: 0.7550954831708864 SEED: 17918
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 256, 0.3, 32) AVG: 0.7498317209855672 VAR: 0.0004354895802890063 F1: 0.7476629242275759 SEED: 17918
