TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.3, 32) AVG: 0.7452020913559375 VAR: 0.0005738122241386669 F1: 0.743987339765227 SEED: 30507
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.5, 32) AVG: 0.738635296327604 VAR: 0.00041256102348609424 F1: 0.7363000491225569 SEED: 30507
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0001, 128, 0.7, 32) AVG: 0.7379856610625841 VAR: 0.0004194201861535615 F1: 0.7371816793152848 SEED: 30507
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0001, 256, 0.3, 32) AVG: 0.7484894023355562 VAR: 0.0005225795324366484 F1: 0.747066574395075 SEED: 30507
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0001, 256, 0.5, 32) AVG: 0.7445563695563697 VAR: 0.0005181579082557577 F1: 0.74361331849145 SEED: 30507
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0001, 256, 0.7, 32) AVG: 0.7438949938949938 VAR: 0.0002940910292927107 F1: 0.7421387354739432 SEED: 30507
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0001, 512, 0.3, 32) AVG: 0.7511427319119626 VAR: 0.00027707261274017723 F1: 0.7485119757026055 SEED: 30507
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0001, 512, 0.5, 32) AVG: 0.7432179643718105 VAR: 0.0005879392205864332 F1: 0.7421218395249922 SEED: 30507
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0001, 512, 0.7, 32) AVG: 0.7392849315926239 VAR: 0.0005777965377605818 F1: 0.7379030820022219 SEED: 30507
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0005, 128, 0.3, 32) AVG: 0.7313992987069909 VAR: 0.0006558562428098324 F1: 0.7251270337663738 SEED: 30507
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0005, 128, 0.5, 32) AVG: 0.7353362449516295 VAR: 0.0003040467133819542 F1: 0.7313980861009397 SEED: 30507
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0005, 128, 0.7, 32) AVG: 0.7445915907454369 VAR: 0.0004050186185878674 F1: 0.7421361263564805 SEED: 30507
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0005, 256, 0.3, 32) AVG: 0.7313640775179238 VAR: 0.0006294086485208091 F1: 0.7255359399497774 SEED: 30507
TrainShape:(1182, 837) #EPOCH: ([], 200, 'bert', 0.0005, 256, 0.5, 32) AVG: 0.745871293948217 VAR: 0.0003767931119863646 F1: 0.7431003193457415 SEED: 30507
