TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.002, 448, 0.01) AVG: 0.7412964528349143 VAR: 0.0008987306613729614 F1: 0.7383023205912373 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.002, 448, 0.2) AVG: 0.7406194233117309 VAR: 0.0005061078995773493 F1: 0.7367837498448228 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.002, 448, 0.3) AVG: 0.7465365830750446 VAR: 0.0004223207034941649 F1: 0.7439921213706019 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.002, 480, 0.01) AVG: 0.7458752074136691 VAR: 0.0007197822433485305 F1: 0.7428806987602738 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.002, 480, 0.2) AVG: 0.7478749882596036 VAR: 0.0004842646093160868 F1: 0.7457708522983175 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.002, 480, 0.3) AVG: 0.7498317209855672 VAR: 0.0006552049174805551 F1: 0.747285300187653 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.002, 512, 0.01) AVG: 0.742599636830406 VAR: 0.0007873013763682374 F1: 0.7381779477952729 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.002, 512, 0.2) AVG: 0.7445563695563695 VAR: 0.0005426145862659824 F1: 0.7423972931629361 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.002, 512, 0.3) AVG: 0.742595723364954 VAR: 0.0005845235301498407 F1: 0.7398191510731655 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.002, 544, 0.01) AVG: 0.7419500015653863 VAR: 0.0007486327943757871 F1: 0.7390924327094174 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.002, 544, 0.2) AVG: 0.741319933627626 VAR: 0.0007585187329902945 F1: 0.7366773592368688 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.002, 544, 0.3) AVG: 0.7419343477035785 VAR: 0.0008963980627179358 F1: 0.7387587290202792 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.002, 576, 0.01) AVG: 0.735367552675245 VAR: 0.0007390062648194828 F1: 0.7306713793027719 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.002, 576, 0.2) AVG: 0.743898907360446 VAR: 0.0006914670508664732 F1: 0.7399086086430334 SEED: 4419
TrainShape:(1182, 870) #EPOCH: ([], 300, 'bert', 0.002, 576, 0.3) AVG: 0.7498356344510191 VAR: 0.00074028784174654 F1: 0.747154697079134 SEED: 4419
