v4
complexity = False
TrainsetLen:(722, 840) #EPOCH: (20, 'bert', 0.001, 64) AVG: 0.7637540453074433 F1: 0.7408192763719701
TrainsetLen:(722, 840) #EPOCH: (20, 'bert', 0.001, 128) AVG: 0.7626752966558792 F1: 0.7432574061585541
TrainsetLen:(722, 840) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7799352750809061 F1: 0.7567716804723462
TrainsetLen:(722, 840) #EPOCH: (50, 'bert', 0.001, 128) AVG: 0.7896440129449838 F1: 0.7707135889773022
TrainsetLen:(722, 840) #EPOCH: (100, 'bert', 0.001, 64) AVG: 0.7831715210355986 F1: 0.759461803874073
TrainsetLen:(722, 840) #EPOCH: (100, 'bert', 0.001, 128) AVG: 0.7713052858683928 F1: 0.7478136584865309
TrainsetLen:(722, 840) #EPOCH: (200, 'bert', 0.001, 64) AVG: 0.7648327939590075 F1: 0.7411825603094391
TrainsetLen:(722, 840) #EPOCH: (200, 'bert', 0.001, 128) AVG: 0.7745415318230853 F1: 0.7527058336205357

v4
complexity = True
TrainsetLen:(722, 865) #EPOCH: (20, 'bert', 0.001, 64) AVG: 0.7637540453074433 F1: 0.744553997470244
TrainsetLen:(722, 865) #EPOCH: (20, 'bert', 0.001, 128) AVG: 0.7734627831715208 F1: 0.7517466130225652
TrainsetLen:(722, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7777777777777777 F1: 0.7559433176566189
TrainsetLen:(722, 865) #EPOCH: (50, 'bert', 0.001, 128) AVG: 0.7896440129449838 F1: 0.7683995017963373
TrainsetLen:(722, 865) #EPOCH: (100, 'bert', 0.001, 64) AVG: 0.7777777777777777 F1: 0.7501204264361564
TrainsetLen:(722, 865) #EPOCH: (100, 'bert', 0.001, 128) AVG: 0.7799352750809062 F1: 0.7638878105171395
TrainsetLen:(722, 865) #EPOCH: (200, 'bert', 0.001, 64) AVG: 0.7756202804746494 F1: 0.7471917783876049
TrainsetLen:(722, 865) #EPOCH: (200, 'bert', 0.001, 128) AVG: 0.7583603020496223 F1: 0.7339934845847725

EM:
TrainsetLen:(354, 865) #EPOCH: (20, 'bert', 0.001, 64) AVG: 0.7155555555555556 F1: 0.6854191880547815
TrainsetLen:(354, 865) #EPOCH: (20, 'bert', 0.001, 128) AVG: 0.7244444444444444 F1: 0.6972181772331918
TrainsetLen:(354, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7466666666666667 F1: 0.7294467430736611
TrainsetLen:(354, 865) #EPOCH: (50, 'bert', 0.001, 128) AVG: 0.78 F1: 0.7704217445936635
TrainsetLen:(354, 865) #EPOCH: (100, 'bert', 0.001, 64) AVG: 0.791111111111111 F1: 0.7783493900248011
TrainsetLen:(354, 865) #EPOCH: (100, 'bert', 0.001, 128) AVG: 0.7799999999999999 F1: 0.7660447970761947
TrainsetLen:(354, 865) #EPOCH: (200, 'bert', 0.001, 64) AVG: 0.7822222222222223 F1: 0.7681138048110924
TrainsetLen:(354, 865) #EPOCH: (200, 'bert', 0.001, 128) AVG: 0.7666666666666666 F1: 0.7503915706386546

v4+EM
TrainsetLen:(722, 865) #EPOCH: (20, 'bert', 0.001, 64) AVG: 0.7723840345199569 F1: 0.7489839805433914
TrainsetLen:(722, 865) #EPOCH: (20, 'bert', 0.001, 128) AVG: 0.7713052858683926 F1: 0.735488369831216
TrainsetLen:(722, 865) #EPOCH: (50, 'bert', 0.001, 64) AVG: 0.7874865156418555 F1: 0.7640198149507014
TrainsetLen:(722, 865) #EPOCH: (50, 'bert', 0.001, 128) AVG: 0.7864077669902911 F1: 0.7659261910560438
TrainsetLen:(722, 865) #EPOCH: (100, 'bert', 0.001, 64) AVG: 0.7842502696871629 F1: 0.7595792011431635
TrainsetLen:(722, 865) #EPOCH: (100, 'bert', 0.001, 128) AVG: 0.790722761596548 F1: 0.7684829783087334
TrainsetLen:(722, 865) #EPOCH: (200, 'bert', 0.001, 64) AVG: 0.7756202804746494 F1: 0.7505620823254024
TrainsetLen:(722, 865) #EPOCH: (200, 'bert', 0.001, 128) AVG: 0.7928802588996764 F1: 0.7678944416151011

V4+EM+T2
TrainsetLen:(1226, 865) #EPOCH: (20, 'bert', 0.001, 64) AVG: 0.7898412698412698 F1: 0.788279824937248
TrainsetLen:(1226, 865) #EPOCH: (20, 'bert', 0.001, 128) AVG: 0.7904761904761904 F1: 0.7884983260512419
