TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 128, 0.3, 32) AVG: 0.7478280266741805 VAR: 0.0006802504960165836 F1: 0.7466332128667195 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 256, 0.3, 32) AVG: 0.7603706834476065 VAR: 0.0004123052288178856 F1: 0.7589371699877187 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 512, 0.3, 32) AVG: 0.7478828151905075 VAR: 0.00048040750384374306 F1: 0.7465590657826724 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 128, 0.5, 32) AVG: 0.74849722926646 VAR: 0.0005880880538151282 F1: 0.7470036926977498 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 256, 0.5, 32) AVG: 0.7630083591622054 VAR: 0.0006350959524388656 F1: 0.7615221509599152 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 512, 0.5, 32) AVG: 0.7551109858802166 VAR: 0.0007112198147111071 F1: 0.7537388456261112 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 128, 0.7, 32) AVG: 0.7478436805359882 VAR: 0.0005636089849651876 F1: 0.74660791370845 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 256, 0.7, 32) AVG: 0.7537843210920134 VAR: 0.0007498407970251482 F1: 0.752260663427433 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 512, 0.7, 32) AVG: 0.7557527942143327 VAR: 0.000290393967784132 F1: 0.7544988653547694 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 128, 0.3, 32) AVG: 0.7537686672302057 VAR: 0.0006788186462309183 F1: 0.7517978416199118 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 256, 0.3, 32) AVG: 0.7544261294261294 VAR: 0.0006086833687241162 F1: 0.7516329948875042 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 512, 0.3, 32) AVG: 0.7511622992392224 VAR: 0.00025984627687165705 F1: 0.7492066945109818 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 128, 0.5, 32) AVG: 0.7452412260104567 VAR: 0.0008023209127318152 F1: 0.742089496612806 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 256, 0.5, 32) AVG: 0.7577369211984597 VAR: 0.0007339379711337142 F1: 0.7553952373193381 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 512, 0.5, 32) AVG: 0.763020099558561 VAR: 0.0004201324047651289 F1: 0.7602901884609059 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 128, 0.7, 32) AVG: 0.7491742587896435 VAR: 0.0006474152944327527 F1: 0.7476210643923564 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 256, 0.7, 32) AVG: 0.7550992454838608 VAR: 0.0005925459137872404 F1: 0.7533096369700543 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0005, 512, 0.7, 32) AVG: 0.7445837638145331 VAR: 0.0008362007649154867 F1: 0.741887622517684 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 128, 0.3, 32) AVG: 0.7590440186594033 VAR: 0.00012827151536020978 F1: 0.7564494882322295 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 256, 0.3, 32) AVG: 0.7524615697692622 VAR: 0.0005695096910450704 F1: 0.7500997589581706 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 512, 0.3, 32) AVG: 0.7458791208791208 VAR: 0.0006910436771502726 F1: 0.7435373008888538 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 128, 0.5, 32) AVG: 0.7485285369900756 VAR: 0.0005014795506669943 F1: 0.7468555873995512 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 256, 0.5, 32) AVG: 0.7564180833411602 VAR: 0.00036139783221542137 F1: 0.754364331026986 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 512, 0.5, 32) AVG: 0.7524537428383583 VAR: 0.00033298253950875565 F1: 0.7508221246779742 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 128, 0.7, 32) AVG: 0.7472096991327761 VAR: 0.0002921287218296373 F1: 0.7455659048176597 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 256, 0.7, 32) AVG: 0.74656789079866 VAR: 0.0007030104323370996 F1: 0.7443152546319003 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.001, 512, 0.7, 32) AVG: 0.7459143420681882 VAR: 0.0007370467447249628 F1: 0.7432984286013053 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 128, 0.3, 32) AVG: 0.7498238940546632 VAR: 0.0006585351184046377 F1: 0.7485516585097199 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 256, 0.3, 32) AVG: 0.7491664318587397 VAR: 0.0006514784201348133 F1: 0.7480696417115692 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 512, 0.3, 32) AVG: 0.7616973482358098 VAR: 0.00035037878233746585 F1: 0.7602193198087586 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 128, 0.5, 32) AVG: 0.7544222159606774 VAR: 0.0005104905924897354 F1: 0.7532301344617522 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 256, 0.5, 32) AVG: 0.7517962806424345 VAR: 0.0008901457806349762 F1: 0.7504337224270964 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 512, 0.5, 32) AVG: 0.7597053943207789 VAR: 0.0004705859810102483 F1: 0.7582783981010263 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 128, 0.7, 32) AVG: 0.7531190319651857 VAR: 0.00042570242479088804 F1: 0.7520235622373128 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 256, 0.7, 32) AVG: 0.7504852697160389 VAR: 0.00038170065720862515 F1: 0.7493988256082583 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 512, 0.7, 32) AVG: 0.7597132212516827 VAR: 0.0003585440569013646 F1: 0.7583230164110515 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 128, 0.3, 32) AVG: 0.753807801884725 VAR: 0.0003559981173453613 F1: 0.7511068425258243 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 256, 0.3, 32) AVG: 0.7603863373094142 VAR: 0.0005613913729206826 F1: 0.7580980459971907 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 512, 0.3, 32) AVG: 0.7669531323377478 VAR: 0.0002800603348970173 F1: 0.7648814420456463 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 128, 0.5, 32) AVG: 0.7498512883128268 VAR: 0.0004339686878616836 F1: 0.7473979602342324 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 256, 0.5, 32) AVG: 0.7544730910115526 VAR: 0.0006256847241306563 F1: 0.7515151840757043 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 512, 0.5, 32) AVG: 0.7636540809617733 VAR: 0.00042683624055408104 F1: 0.7615512655872503 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 128, 0.7, 32) AVG: 0.7504970101123948 VAR: 0.0002821610918751565 F1: 0.7489997248759679 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 256, 0.7, 32) AVG: 0.75117795310103 VAR: 0.0006258702832373518 F1: 0.7490089380934016 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 512, 0.7, 32) AVG: 0.7551266397420244 VAR: 0.00044772628139978554 F1: 0.7530188854126069 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 128, 0.3, 32) AVG: 0.7511701261701262 VAR: 0.0006525634110026494 F1: 0.7488115185912023 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 256, 0.3, 32) AVG: 0.7583943833943834 VAR: 0.0005039014063766432 F1: 0.7562389806094374 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 512, 0.3, 32) AVG: 0.7557567076797845 VAR: 0.0005782840209535587 F1: 0.7533669116303877 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 128, 0.5, 32) AVG: 0.7485324504555274 VAR: 0.00037575278027626496 F1: 0.7466873339302702 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 256, 0.5, 32) AVG: 0.7584061237907392 VAR: 0.00026486822672638823 F1: 0.756454671626788 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 512, 0.5, 32) AVG: 0.7597132212516828 VAR: 0.00021737811334254748 F1: 0.7573900950643421 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 128, 0.7, 32) AVG: 0.7478710747941517 VAR: 0.0005789566650577214 F1: 0.7465241377335197 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 256, 0.7, 32) AVG: 0.7584100372561912 VAR: 0.0003172751357204426 F1: 0.7562455277797581 SEED: 15379
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 512, 0.7, 32) AVG: 0.7557762750070443 VAR: 0.0006908250678164195 F1: 0.7529856958787313 SEED: 15379
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 128, 0.3, 32) AVG: 0.7471823048746126 VAR: 0.0004311494330351213 F1: 0.7456864070112907 SEED: 12623
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 256, 0.3, 32) AVG: 0.7544496102188408 VAR: 0.00041840723804223824 F1: 0.7529561725444335 SEED: 12623
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 512, 0.3, 32) AVG: 0.7551266397420243 VAR: 0.0003701988105925176 F1: 0.7531262934770578 SEED: 12623
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 128, 0.5, 32) AVG: 0.7432257913027143 VAR: 0.0005982298177282668 F1: 0.741892274324803 SEED: 12623
TrainShape:(1182, 837) #EPOCH: ([], 200, bert, 0.0001, 256, 0.5, 32) AVG: 0.7583943833943834 VAR: 0.00019230508994689627 F1: 0.756775442024411 SEED: 12623
