TrainShape:(1182, 864) #EPOCH: ([0, 17], 100, 'bert', 0.001, 64) AVG: 0.7731481481481481 F1: 0.7715793816939528
TrainShape:(1182, 864) #EPOCH: ([1, 17], 100, 'bert', 0.001, 64) AVG: 0.7698412698412698 F1: 0.768552518296879
TrainShape:(1182, 864) #EPOCH: ([2, 17], 100, 'bert', 0.001, 64) AVG: 0.759920634920635 F1: 0.7596352548428036
TrainShape:(1182, 864) #EPOCH: ([3, 17], 100, 'bert', 0.001, 64) AVG: 0.7824074074074074 F1: 0.7814036538030054
TrainShape:(1182, 864) #EPOCH: ([4, 17], 100, 'bert', 0.001, 64) AVG: 0.7777777777777778 F1: 0.7772374158125404
TrainShape:(1182, 864) #EPOCH: ([5, 17], 100, 'bert', 0.001, 64) AVG: 0.7791005291005292 F1: 0.77749724226494
TrainShape:(1182, 864) #EPOCH: ([6, 17], 100, 'bert', 0.001, 64) AVG: 0.7652116402116403 F1: 0.7637974586478113
TrainShape:(1182, 864) #EPOCH: ([7, 17], 100, 'bert', 0.001, 64) AVG: 0.7665343915343916 F1: 0.7653572632947414
TrainShape:(1182, 864) #EPOCH: ([8, 17], 100, 'bert', 0.001, 64) AVG: 0.7837301587301588 F1: 0.7829500773620754
TrainShape:(1182, 864) #EPOCH: ([9, 17], 100, 'bert', 0.001, 64) AVG: 0.7764550264550266 F1: 0.7753508636231916
TrainShape:(1182, 864) #EPOCH: ([10, 17], 100, 'bert', 0.001, 64) AVG: 0.7764550264550264 F1: 0.7753925026677863
TrainShape:(1182, 864) #EPOCH: ([11, 17], 100, 'bert', 0.001, 64) AVG: 0.7837301587301587 F1: 0.7825285543716073
TrainShape:(1182, 864) #EPOCH: ([12, 17], 100, 'bert', 0.001, 64) AVG: 0.7711640211640212 F1: 0.7695150242096992
TrainShape:(1182, 864) #EPOCH: ([13, 17], 100, 'bert', 0.001, 64) AVG: 0.7711640211640212 F1: 0.7699914904877163
TrainShape:(1182, 864) #EPOCH: ([14, 17], 100, 'bert', 0.001, 64) AVG: 0.781084656084656 F1: 0.7801165891340436
TrainShape:(1182, 864) #EPOCH: ([15, 17], 100, 'bert', 0.001, 64) AVG: 0.7645502645502645 F1: 0.7625479777939078
TrainShape:(1182, 864) #EPOCH: ([16, 17], 100, 'bert', 0.001, 64) AVG: 0.7625661375661377 F1: 0.7614514734972889
TrainShape:(1182, 864) #EPOCH: ([17, 17], 100, 'bert', 0.001, 64) AVG: 0.7883597883597884 F1: 0.7865015226920671
TrainShape:(1182, 864) #EPOCH: ([17, 18], 100, 'bert', 0.001, 64) AVG: 0.761243386243386 F1: 0.760681157176192
TrainShape:(1182, 864) #EPOCH: ([17, 19], 100, 'bert', 0.001, 64) AVG: 0.7751322751322751 F1: 0.7741684952968269
TrainShape:(1182, 864) #EPOCH: ([17, 20], 100, 'bert', 0.001, 64) AVG: 0.787037037037037 F1: 0.7859411279949635
TrainShape:(1182, 864) #EPOCH: ([17, 21], 100, 'bert', 0.001, 64) AVG: 0.7757936507936509 F1: 0.7739269156691112
TrainShape:(1182, 864) #EPOCH: ([17, 22], 100, 'bert', 0.001, 64) AVG: 0.7744708994708994 F1: 0.7732923471329357
TrainShape:(1182, 864) #EPOCH: ([17, 23], 100, 'bert', 0.001, 64) AVG: 0.7876984126984128 F1: 0.7847421780509591
TrainShape:(1182, 864) #EPOCH: ([17, 24], 100, 'bert', 0.001, 64) AVG: 0.7612433862433863 F1: 0.7599401172218614
TrainShape:(1182, 864) #EPOCH: ([17, 25], 100, 'bert', 0.001, 64) AVG: 0.7817460317460319 F1: 0.7797960044893746
TrainShape:(1182, 864) #EPOCH: ([17, 26], 100, 'bert', 0.001, 64) AVG: 0.7645502645502646 F1: 0.7638407519423409
TrainShape:(1182, 864) #EPOCH: ([17, 27], 100, 'bert', 0.001, 64) AVG: 0.7678571428571428 F1: 0.7668730480140441
TrainShape:(1182, 864) #EPOCH: ([17, 28], 100, 'bert', 0.001, 64) AVG: 0.7698412698412699 F1: 0.7687018902928939
TrainShape:(1182, 864) #EPOCH: ([17, 29], 100, 'bert', 0.001, 64) AVG: 0.761904761904762 F1: 0.7610652740195869
TrainShape:(1182, 864) #EPOCH: ([17, 30], 100, 'bert', 0.001, 64) AVG: 0.7757936507936508 F1: 0.7741484125289504
TrainShape:(1182, 864) #EPOCH: ([17, 31], 100, 'bert', 0.001, 64) AVG: 0.7744708994708995 F1: 0.7728461002117788
TrainShape:(1182, 864) #EPOCH: ([17, 32], 100, 'bert', 0.001, 64) AVG: 0.7678571428571428 F1: 0.7667914883084956
TrainShape:(1182, 864) #EPOCH: ([17, 33], 100, 'bert', 0.001, 64) AVG: 0.7797619047619049 F1: 0.7789131600643681
TrainShape:(1182, 864) #EPOCH: ([17, 34], 100, 'bert', 0.001, 64) AVG: 0.7632275132275131 F1: 0.7624109437669399
TrainShape:(1182, 864) #EPOCH: ([17, 35], 100, 'bert', 0.001, 64) AVG: 0.7705026455026456 F1: 0.769608035885035
TrainShape:(1182, 864) #EPOCH: ([17, 36], 100, 'bert', 0.001, 64) AVG: 0.7718253968253969 F1: 0.7702452678001874
TrainShape:(1182, 864) #EPOCH: ([17, 37], 100, 'bert', 0.001, 64) AVG: 0.775793650793651 F1: 0.7749485485884093
TrainShape:(1182, 864) #EPOCH: ([17, 38], 100, 'bert', 0.001, 64) AVG: 0.7711640211640213 F1: 0.769974033236801
TrainShape:(1182, 864) #EPOCH: ([17, 39], 100, 'bert', 0.001, 64) AVG: 0.7705026455026455 F1: 0.7693262167238367
TrainShape:(1182, 864) #EPOCH: ([17, 40], 100, 'bert', 0.001, 64) AVG: 0.7632275132275133 F1: 0.7624389458971522
TrainShape:(1182, 864) #EPOCH: ([17, 41], 100, 'bert', 0.001, 64) AVG: 0.7612433862433862 F1: 0.7605503620910692
TrainShape:(1182, 864) #EPOCH: ([17, 42], 100, 'bert', 0.001, 64) AVG: 0.7797619047619049 F1: 0.7779139475657919
TrainShape:(1182, 864) #EPOCH: ([17, 43], 100, 'bert', 0.001, 64) AVG: 0.7625661375661377 F1: 0.7622201121850123
TrainShape:(1182, 864) #EPOCH: ([17, 44], 100, 'bert', 0.001, 64) AVG: 0.775793650793651 F1: 0.7751473796456689
TrainShape:(1182, 864) #EPOCH: ([17, 45], 100, 'bert', 0.001, 64) AVG: 0.771164021164021 F1: 0.7703745270097374
TrainShape:(1182, 864) #EPOCH: ([17, 46], 100, 'bert', 0.001, 64) AVG: 0.7685185185185186 F1: 0.767438298265307
TrainShape:(1182, 864) #EPOCH: ([17, 47], 100, 'bert', 0.001, 64) AVG: 0.7751322751322751 F1: 0.7733465723246491
TrainShape:(1182, 864) #EPOCH: ([17, 48], 100, 'bert', 0.001, 64) AVG: 0.7764550264550264 F1: 0.7754114380482596
TrainShape:(1182, 864) #EPOCH: ([17, 49], 100, 'bert', 0.001, 64) AVG: 0.7764550264550265 F1: 0.7747360484553246
TrainShape:(1182, 864) #EPOCH: ([17, 50], 100, 'bert', 0.001, 64) AVG: 0.7652116402116402 F1: 0.7638527321419705
TrainShape:(1182, 864) #EPOCH: ([17, 51], 100, 'bert', 0.001, 64) AVG: 0.7698412698412698 F1: 0.7694141228820682
TrainShape:(1182, 864) #EPOCH: ([17, 52], 100, 'bert', 0.001, 64) AVG: 0.7592592592592593 F1: 0.7581263876477711
TrainShape:(1182, 864) #EPOCH: ([17, 53], 100, 'bert', 0.001, 64) AVG: 0.7705026455026456 F1: 0.7698449993588788
TrainShape:(1182, 864) #EPOCH: ([17, 54], 100, 'bert', 0.001, 64) AVG: 0.7744708994708995 F1: 0.772324386109573
TrainShape:(1182, 864) #EPOCH: ([17, 55], 100, 'bert', 0.001, 64) AVG: 0.7533068783068783 F1: 0.7524324362617792
TrainShape:(1182, 864) #EPOCH: ([17, 56], 100, 'bert', 0.001, 64) AVG: 0.7764550264550265 F1: 0.7755775588675826
TrainShape:(1182, 864) #EPOCH: ([17, 57], 100, 'bert', 0.001, 64) AVG: 0.7731481481481481 F1: 0.7718279992069119
TrainShape:(1182, 864) #EPOCH: ([17, 58], 100, 'bert', 0.001, 64) AVG: 0.7738095238095237 F1: 0.7731848639515958
TrainShape:(1182, 864) #EPOCH: ([17, 59], 100, 'bert', 0.001, 64) AVG: 0.7685185185185185 F1: 0.7669324363745753
TrainShape:(1182, 864) #EPOCH: ([17, 60], 100, 'bert', 0.001, 64) AVG: 0.7751322751322753 F1: 0.7733444077056125
TrainShape:(1182, 864) #EPOCH: ([17, 61], 100, 'bert', 0.001, 64) AVG: 0.7757936507936508 F1: 0.7748561946129563
TrainShape:(1182, 864) #EPOCH: ([17, 62], 100, 'bert', 0.001, 64) AVG: 0.7685185185185184 F1: 0.7678075029305549
TrainShape:(1182, 864) #EPOCH: ([17, 63], 100, 'bert', 0.001, 64) AVG: 0.7711640211640212 F1: 0.7703864352618185
TrainShape:(1182, 864) #EPOCH: ([17, 64], 100, 'bert', 0.001, 64) AVG: 0.7665343915343915 F1: 0.7648225188817093
TrainShape:(1182, 864) #EPOCH: ([17, 65], 100, 'bert', 0.001, 64) AVG: 0.7711640211640212 F1: 0.770820369640641
